"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
17,188,"RUS","Russia",17,"Ingush","RU.IN",NA,"4201","Respublika","Republic","<U+0420><U+0435><U+0441><U+043F><U+0443>´<U+0431><U+043B><U+0438><U+043A><U+0430> <U+0418><U+043D><U+0433><U+0443><U+0448><U+0435>´<U+0442><U+0438><U+044F>","Ingouchie|Inguchétia|Inguschetien|Ingushetia|Ingushetiya|Ingush Republic|Ingushskaya Respublika|Respublika Ingushetiya"
18,188,"RUS","Russia",18,"Irkutsk","RU.IK",NA,"","Oblast","Region","<U+0418><U+0440><U+043A><U+0443><U+0442><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Irkutskaya Oblast"
19,188,"RUS","Russia",19,"Ivanovo","RU.IV",NA,"0","Oblast","Region","<U+0418><U+0432><U+0430><U+043D><U+043E><U+0432><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Ivanovskaya Oblast"
20,188,"RUS","Russia",20,"Kabardin-Balkar","RU.KB",NA,"0","Respublika","Republic","<U+041A><U+0430><U+0431><U+0430><U+0440><U+0434><U+0438><U+043D><U+043E>-<U+0411><U+0430><U+043B><U+043A><U+0430><U+0440><U+0441><U+043A><U+0430><U+044F> <U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430>","Kabardin A.S.S.R.|Kabardino-Balkarskaya A.S.S.R.|Kabardino-Balkariya|Kabardino-Balkarsk|Kabard|Kabardino-Balkarskaya Republic"
21,188,"RUS","Russia",21,"Kaliningrad","RU.KN",NA,"0","Oblast","Region","<U+041A><U+0430><U+043B><U+0438><U+043D><U+0438><U+043D><U+0433><U+0440><U+0430><U+0434><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Kaliningradskaya Oblast"
22,188,"RUS","Russia",22,"Kalmyk","RU.KL",NA,"0","Respublika","Republic","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+041A><U+0430><U+043B><U+043C><U+044B><U+043A><U+0438><U+044F>","Kalmykiya|Khalmg Tangch|Republic of Kalmykia|Kalmytskaya A.S.S.R.|Respublika Kalmykiya"
23,188,"RUS","Russia",23,"Kaluga","RU.KG",NA,"0","Oblast","Region","<U+041A><U+0430><U+043B><U+0443><U+0436><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Kaluzhskaya Oblast"
24,188,"RUS","Russia",24,"Kamchatka","RU.KQ",NA,"","Kray","Territory","<U+041A><U+0430><U+043C><U+0447><U+0430><U+0442><U+0441><U+043A><U+0430><U+044F> <U+043A><U+0440><U+0430><U+0439>","Kamçatka|Kamchatskaya Kray"
25,188,"RUS","Russia",25,"Karachay-Cherkess","RU.KC",NA,"0","Respublika","Republic","<U+041A><U+0430><U+0440><U+0430><U+0447><U+0430><U+0435><U+0432><U+043E>-<U+0427><U+0435><U+0440><U+043A><U+0435><U+0441><U+0441><U+0438><U+044F> <U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430>","Karaçay-Çerkes|Karachay-Cherkessiya|Karachayevo-Cherkesskaya Respublika|Karachayevo-Cherkessiya|Karachayevo-Cherkess Republic|K"
26,188,"RUS","Russia",26,"Karelia","RU.KI",NA,"0","Respublika","Republic","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+041A><U+0430><U+0440><U+0435><U+043B><U+0438><U+044F>","Karelian A.S.S.R.|Karelo-Finnish A.S.S.R.|Karel'skaya A.S.S.R.|Olonets|Olonetskaya G.|Kareliya|Republic of Karelia"
27,188,"RUS","Russia",27,"Kemerovo","RU.KE",NA,"0","Oblast","Region","<U+041A><U+0435><U+043C><U+0435><U+0440><U+043E><U+0432><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Kemerovskaya Oblast"
28,188,"RUS","Russia",28,"Khabarovsk","RU.KH",NA,"0","Kray","Territory","<U+0425><U+0430><U+0431><U+0430><U+0440><U+043E><U+0432><U+0441><U+043A><U+0438><U+0439> <U+043A><U+0440><U+0430><U+0439>","Khabarovskiy Kray"
29,188,"RUS","Russia",29,"Khakass","RU.KK",NA,"0","Respublika","Republic","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0425><U+0430><U+043A><U+0430><U+0441><U+0438><U+044F>","Khakassiya|Republic of Khakasia|Khakasskaya A.Obl.|Respublika Khakasiya|Republic of Khakasia"
30,188,"RUS","Russia",30,"Khanty-Mansiy","RU.KM",NA,"0","Avtonomnyy Okrug","Autonomous Province","<U+0425><U+0430><U+043D><U+0442><U+044B>-<U+041C><U+0430><U+043D><U+0441><U+0438><U+0439><U+0441><U+043A><U+0438><U+0439> <U+0410><U+041E><U+043A>","Khanty-Mansiysk|Khanty-Mansiyskiy A.Okr.|Khanty-Mansiyskiy A.Okr.-Yugra|Khanty-Mansiyskiy Aok"
31,188,"RUS","Russia",31,"Kirov","RU.KV",NA,"0","Oblast","Region","<U+041A><U+0438><U+0440><U+043E><U+0432><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Vyatka|Vyatskaya G.|Kirovskaya Oblast"
32,188,"RUS","Russia",32,"Komi","RU.KO",NA,"0","Respublika","Republic","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+041A><U+043E><U+043C><U+0438>","Komi A.S.S.R.|Republic of Komi|Respublika Komi"
33,188,"RUS","Russia",33,"Kostroma","RU.KT",NA,"0","Oblast","Region","<U+041A><U+043E><U+0441><U+0442><U+0440><U+043E><U+043C><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Kostromskaya Oblast"
34,188,"RUS","Russia",34,"Krasnodar","RU.KD",NA,"0","Kray","Territory","<U+041A><U+0440><U+0430><U+0441><U+043D><U+043E><U+0434><U+0430><U+0440><U+0441><U+043A><U+0438><U+0439> <U+043A><U+0440><U+0430><U+0439>","Cossacks of the Black Sea|Kuban|Kubanskaya|Yekaterinodar|Krasnodarskiy Kray"
35,188,"RUS","Russia",35,"Krasnoyarsk","RU.KX",NA,"6209","Kray","Territory","<U+041A><U+0440><U+0430><U+0441><U+043D><U+043E><U+044F><U+0440><U+0441><U+043A><U+0438><U+0439> <U+043A><U+0440><U+0430><U+0439>","Krasnoyarskiy Kray|Yeniseisk|Yeniseyskaya G."
36,188,"RUS","Russia",36,"Kurgan","RU.KU",NA,"0","Oblast","Region","<U+041A><U+0443><U+0440><U+0433><U+0430><U+043D><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Kurganskaya Oblast"
37,188,"RUS","Russia",37,"Kursk","RU.KS",NA,"0","Oblast","Region","<U+041A><U+0443><U+0440><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Kurskaya Oblast"
38,188,"RUS","Russia",38,"Leningrad","RU.LN",NA,"0","Oblast","Region","<U+041B><U+0435><U+043D><U+0438><U+043D><U+0433><U+0440><U+0430><U+0434><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Saint Petersburg|Sankt-Peterburgskaya G.|Leningradskaya Oblast"
39,188,"RUS","Russia",39,"Lipetsk","RU.LP",NA,"0","Oblast","Region","<U+041B><U+0438><U+043F><U+0435><U+0446><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Lipetskaya Oblast"
40,188,"RUS","Russia",40,"Maga Buryatdan","RU.MG",NA,"7009","Oblast","Region","<U+041C><U+0430><U+0433><U+0430><U+0434><U+0430><U+043D><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Magadanskaya Oblast"
41,188,"RUS","Russia",41,"Mariy-El","RU.ME",NA,"0","Respublika","Republic","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+041C><U+0430><U+0440><U+0438><U+0439> <U+042D><U+043B>","Mari|Mari-El|Republic of Mari El|Mariyskaya A.S.S.R.|Respublika Mariy El"
42,188,"RUS","Russia",42,"Mordovia","RU.MR",NA,"0","Respublika","Republic","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+041C><U+043E><U+0440><U+0434><U+043E><U+0432><U+0438><U+044F>","Mordov|Mordvian Autonomous Republic|Mordvinia|Republic of Mordovia|Mordovian A.S.S.R."
43,188,"RUS","Russia",43,"Moscow City","",NA,"","Gorod","City","",""
44,188,"RUS","Russia",44,"Moskva","RU.MS",NA,"","Oblast","Region","<U+041C><U+043E><U+0441><U+043A><U+043E><U+0432><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Mosca|Moscou|Moscow|Moskau|Moskova|Moskovskaya"
45,188,"RUS","Russia",45,"Murmansk","RU.MM",NA,"0","Oblast","Region","<U+041C><U+0443><U+0440><U+043C><U+0430><U+043D><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Murmanskaya Oblast"
46,188,"RUS","Russia",46,"Nenets","RU.NN",NA,"0","Avtonomnyy Okrug","Autonomous Province","<U+041D><U+0435><U+043D><U+0435><U+0446><U+043A><U+0438><U+0439> <U+0410><U+041E><U+043A>","Nenetskiy A.Okr.|Nenetskiy Aok"
47,188,"RUS","Russia",47,"Nizhegorod","RU.NZ",NA,"0","Oblast","Region","<U+041D><U+0438><U+0436><U+0435><U+0433><U+043E><U+0440><U+043E><U+0434><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Gor'kiy|Gor'kovskaya|Gorky|Nizhegorodskaya|Nizhniy-Novgorod|Nizhegorodskaya Oblast"
48,188,"RUS","Russia",48,"North Ossetia","RU.NO",NA,"0","Respublika","Republic","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0421><U+0435><U+0432><U+0435><U+0440><U+043D><U+0430><U+044F> <U+041E><U+0441><U+0435><U+0442><U+0438><U+044F>-<U+0410><U+043B><U+0430><U+043D><U+0438><U+044F>","Kuzey Osetya|Respublika Severnaya Osetiya|Severnaya Osetiya-Alaniya|North Ossetian A.S.S.R.|Republic of North Osetia-Alania"
49,188,"RUS","Russia",49,"Novgorod","RU.NG",NA,"0","Oblast","Region","<U+041D><U+043E><U+0432><U+0433><U+043E><U+0440><U+043E><U+0434><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Novgorodskaya Oblast"
50,188,"RUS","Russia",50,"Novosibirsk","RU.NS",NA,"0","Oblast","Region","<U+041D><U+043E><U+0432><U+043E><U+0441><U+0438><U+0431><U+0438><U+0440><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Novosibirskaya Oblast"
51,188,"RUS","Russia",51,"Omsk","RU.OM",NA,"0","Oblast","Region","<U+041E><U+043C><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Omskaya Oblast"
52,188,"RUS","Russia",52,"Orel","RU.OL",NA,"0","Oblast","Region","<U+041E><U+0440><U+043B><U+043E><U+0432><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Orlovskaya|Or'ol|Oryol|Orlovskaya Oblast"
53,188,"RUS","Russia",53,"Orenburg","RU.OB",NA,"0","Oblast","Region","<U+041E><U+0440><U+0435><U+043D><U+0431><U+0443><U+0440><U+0433><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Chkalov|Orenburgskaya|Orenburgskaya Oblast"
54,188,"RUS","Russia",54,"Penza","RU.PZ",NA,"0","Oblast","Region","<U+041F><U+0435><U+043D><U+0437><U+0435><U+043D><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Penzenskaya Oblast"
55,188,"RUS","Russia",55,"Perm'","RU.PE",NA,"","Kray","Territory","<U+041F><U+0435><U+0440><U+043C><U+0441><U+043A><U+0430><U+044F> <U+043A><U+0440><U+0430><U+0439>","Molotov|Permskaya"
56,188,"RUS","Russia",56,"Primor'ye","RU.PR",NA,"0","Kray","Territory","<U+041F><U+0440><U+0438><U+043C><U+043E><U+0440><U+0441><U+043A><U+0438><U+0439> <U+043A><U+0440><U+0430><U+0439>","Küsten-Gebiet|Maritime Territory|Primorsk|Primorskiy Kray"
57,188,"RUS","Russia",57,"Pskov","RU.PS",NA,"0","Oblast","Region","<U+041F><U+0441><U+043A><U+043E><U+0432><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Pskovskaya Oblast"
58,188,"RUS","Russia",58,"Rostov","RU.RO",NA,"0","Oblast","Region","<U+0420><U+043E><U+0441><U+0442><U+043E><U+0432><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Province of the Don Cossacks|Provinz des Donischen Heeres|Voyska Donskovo|Rostovskaya Oblast"
59,188,"RUS","Russia",59,"Ryazan'","RU.RZ",NA,"0","Oblast","Region","<U+0420><U+044F><U+0437><U+0430><U+043D><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Ryazanskaya Oblast|Ryazanskaya Oblast"
60,188,"RUS","Russia",60,"Sakhalin","RU.SL",NA,"0","Oblast","Region","<U+0421><U+0430><U+0445><U+0430><U+043B><U+0438><U+043D><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Sakhalinskaya Oblast"
61,188,"RUS","Russia",61,"Sakha","RU.SK",NA,"0","Respublika","Republic","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0421><U+0430><U+0445><U+0430>","Republic of Sakha|Yakutia-Sakha|Yakutsk|Yakut A.S.S.R.|Yakutskaya A.S.S.R.|Respublika Sakha"
62,188,"RUS","Russia",62,"Samara","RU.SA",NA,"0","Oblast","Region","<U+0421><U+0430><U+043C><U+0430><U+0440><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Kuybyshev|Kuybyshevskaya|Samarskaya Oblast"
63,188,"RUS","Russia",63,"Saratov","RU.SR",NA,"0","Oblast","Region","<U+0421><U+0430><U+0440><U+0430><U+0442><U+043E><U+0432><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Saratovskaya Oblast"
64,188,"RUS","Russia",64,"Smolensk","RU.SM",NA,"0","Oblast","Region","<U+0421><U+043C><U+043E><U+043B><U+0435><U+043D><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Smolenskaya Oblast"
