"","Cnt","gdp_growth","year"
"135","Guinea",0.430273175239563,2004
"136","Guinea",0.881577789783478,2005
"137","Guinea",0.168007493019104,2006
"138","Guinea",-0.754151523113251,2007
"139","Guinea",2.21336030960083,2008
"140","Guinea",-2.90251803398132,2009
"141","Guinea Bissau",0.702759802341461,2000
"142","Guinea Bissau",1.25134253501892,2001
"143","Guinea Bissau",5.44825553894043,2002
"144","Guinea Bissau",-6.57225465774536,2003
"145","Guinea Bissau",NA,2004
"146","Guinea Bissau",NA,2005
"147","Guinea Bissau",NA,2006
"148","Guinea Bissau",2.62176966667175,2007
"149","Guinea Bissau",-2.34991979598999,2008
"150","Guinea Bissau",-0.962189435958862,2009
"151","Lesotho",4.19928789138794,2000
"152","Lesotho",3.37849593162537,2001
"153","Lesotho",-0.213398113846779,2002
"154","Lesotho",3.95949125289917,2003
"155","Lesotho",1.58210909366608,2004
"156","Lesotho",1.96737778186798,2005
"157","Lesotho",3.52428531646729,2006
"158","Lesotho",3.91033816337585,2007
"159","Lesotho",4.85342741012573,2008
"160","Lesotho",2.67471361160278,2009
"161","Liberia",19.1709594726562,2000
"162","Liberia",17.7473773956299,2001
"163","Liberia",28.8041725158691,2002
"164","Liberia",-33.9833641052246,2003
"165","Liberia",-6.91010665893555,2004
"166","Liberia",6.63049697875977,2005
"167","Liberia",6.04936933517456,2006
"168","Liberia",11.171820640564,2007
"169","Liberia",6.00426769256592,2008
"170","Liberia",9.33412551879883,2009
"171","Madagascar",1.55305790901184,2000
"172","Madagascar",2.81193423271179,2001
"173","Madagascar",-15.2840843200684,2002
"174","Madagascar",6.54298877716064,2003
"175","Madagascar",2.18704438209534,2004
"176","Madagascar",1.58880925178528,2005
"177","Madagascar",2.0339822769165,2006
"178","Madagascar",3.25220561027527,2007
"179","Madagascar",4.14050817489624,2008
"180","Madagascar",-6.78854084014893,2009
"181","Malawi",-1.19436657428741,2000
"182","Malawi",-7.44126272201538,2001
"183","Malawi",-0.888908803462982,2002
"184","Malawi",2.8108434677124,2003
"185","Malawi",2.09583401679993,2004
"186","Malawi",0.00989813916385174,2005
"187","Malawi",-0.8737912774086,2006
"188","Malawi",6.24811124801636,2007
"189","Malawi",5.08642387390137,2008
"190","Malawi",5.78024101257324,2009
